mj,ucs,lines,yomi,shrink
7,3404_E0101,3,カ・ケ・クワ,牛井
8,3404_E0100,4,カ・ケ,牛井
22,342A_E0103,6,ガイ・い,亥宛
23,342A_E0101,5,ガイ・い,亥宛
25,342C_E0101,7,リュウ・ル・コウ・トツ,㐬
27,342E_E0101,13,ジョウ・ショウ・ソウ,㐮
28,342E_E0102,13,ジョウ・はらう,㐮
29,342E_E0103,13,ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる,㐮
36,3436_E0100,5,,化匕
37,3436_E0101,5,,化匕
45,3441_E0100,7,シュツ・シュチ・チュツ・チュチ,拙
46,3441_E0101,7,チュツ,拙
47,3442_E0100,7,ホウ,仿
48,3442_E0101,7,ホウ・さまよう・にる,仿
73,3464_E0101,11,ボウ,苗
74,3464_E0100,10,ボウ,苗
89,3479_E0100,12,カイ・エ・あう,会會
105,348A_E0101,16,シュウ,澀
106,348A_E0100,16,シュウ,澀
129,34A7_E0100,21,レイ,儷
130,34A7_E0101,21,レイ,儷
143,34B8_E0100,9,スイ・ズイ,遂歳
144,34B8_E0101,9,スイ・ズイ,遂歳
145,34B9_E0101,20,テン,顚顛
146,34B9_E0100,20,テン,顚顛
150,34BC_E0101,11,バン・マン・ベン・メン,㒼
156,34C3_E0100,12,ト・ツ・タ,詫
157,34C3_E0101,12,タ・ツ・テ・ト・おく,詫
175,34D7_E0100,14,ケツ・いさぎよい,潔
176,34D7_E0101,14,ケツ,潔
183,34DE_E0100,6,カツ・カチ・ケイ,契
184,34DE_E0102,6,カツ・ケイ,契
185,34DE_E0103,6,カツ・ケチ・ケイ・カイ,契
206,34F5_E0100,11,ガク,鍔
207,34F5_E0101,11,ガク,鍔
208,34F6_E0100,11,ケツ・ケチ,鍥
209,34F6_E0101,11,ケツ・ケチ・きざむ,鍥
241,351C_E0101,9,ホツ,勃
242,351C_E0100,9,ホツ,勃
245,351F_E0101,10,セイ・いきおい,㔟勢
264,3530_E0101,7,コウ,恒恆
265,3530_E0100,7,コウ・つね,恒恆
266,3531_E0100,11,ユ,庾
267,3531_E0101,10,ユ・くら,庾
269,3534_E0100,13,ヨク・ヨキ,異
270,3534_E0101,14,ヨク・ヨキ,異
