mj,ucs,lines,yomi
1,3005,3,おなじ・くりかえし・のま
2,3006,2,しめ
3,303B,2,
4,3400,5,キュウ・おか
5,3401,6,テン
6,3402,6,キ・よろこぶ
7,3404_E0101,3,カ・ケ・クワ
8,3404_E0100,4,カ・ケ
9,3405,2,ゴ
10,3406,6,
11,340C,5,イ
12,2CF1C,5,イ・ショク
13,3416,7,ケツ・ゲチ
15,341C,9,キュウ・グ
16,3421,11,ジュ
17,3424,12,タン・キュウ
18,3427,4,ダイ・テイ・ただ・ついで・やしき
20,3428,8,ショ・ジョ
21,3429,8,キョウ・ゴ
22,342A_E0103,6,ガイ・い
23,342A_E0101,5,ガイ・い
25,342C_E0101,7,リュウ・ル・コウ・トツ
26,342D,8,リン・くら
27,342E_E0101,13,ジョウ・ショウ・ソウ
28,342E_E0102,13,ジョウ・はらう
29,342E_E0103,13,ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる
30,342F,17,ヨウ・あげる
31,3430,5,シン
32,3431,5,シン
33,3432,5,フク・タイ・ダイ・ふせる・ふす
34,3433,5,ゴツ
35,3434,5,ハン
36,3436_E0100,5,
37,3436_E0101,5,
38,3438,6,ケン
39,3439,6,キツ
40,343A,6,ギン・シュウ
41,343B,6,ダイ・ネ
42,343C,6,ショウ
45,3441_E0100,7,シュツ・シュチ・チュツ・チュチ
46,3441_E0101,7,チュツ
47,3442_E0100,7,ホウ
48,3442_E0101,7,ホウ・さまよう・にる
49,3443,7,オウ
50,3444,7,ブ
51,3445,7,サク
52,3446,7,
53,3449,8,シュク
54,344A,8,エキ・ヤク
55,344B,8,キュウ・ク
56,344C,8,オウ
57,344D,8,ライ・レ
59,344E,8,ドウ・ノウ
60,3450,8,シュク
61,3451,8,サン
62,3452,8,セン・みな
63,3453,8,シュン・すぐれる
64,3457,9,シン
65,3458,9,カイ
66,3459,9,チョウ
67,345A,9,ダ
68,345B,9,ソク・ショク
69,345C,9,テイ・エイ・セツ・セチ
70,345E,9,ヨウ
71,345F,9,ホウ・ヒョウ
72,3463,10,ラン
73,3464_E0101,11,ボウ
74,3464_E0100,10,ボウ
75,3465,10,イ・シ
76,3466,10,レイ・ライ
77,3467,10,キ・おそれる
78,3468,10,また
79,346A,10,サイ・ザイ・セイ
80,346E,11,コン・ゴン
81,346F,11,シュ
82,3471,11,ショウ
83,3473,12,シュウ・シュ・ス・ドウ・ノウ
84,3474,12,シン
85,3475,12,シツ・ねたむ
86,3476,12,キ・ケ
87,3477,12,タイ
88,3478,12,ヨウ
89,3479_E0100,12,カイ・エ・あう
90,347B,13,バツ・マチ
91,347C,13,リャク
92,347D,13,トウ
93,347E,13,ヨウ
94,347F,13,ソウ・ジョウ
95,3480,13,タク・チャク・タ・チャ
96,3481,13,グ
97,3482,15,チャク
98,3483,14,ジ
99,3484,14,ゼン・ネン・セン
100,3485,14,ケイ
101,3486,14,キュウ
102,3487,14,ブ
103,3488,14,カン
104,3489,14,ショウ
105,348A_E0101,16,シュウ
106,348A_E0100,16,シュウ
107,348B,14,シ
108,348C,14,ケイ
109,348D,14,ルイ
