mj,ucs,lines,yomi
7,3404_E0101,3,カ・ケ・クワ
8,3404_E0100,4,カ・ケ
22,342A_E0103,6,ガイ・い
23,342A_E0101,5,ガイ・い
25,342C_E0101,7,リュウ・ル・コウ・トツ
27,342E_E0101,13,ジョウ・ショウ・ソウ
28,342E_E0102,13,ジョウ・はらう
29,342E_E0103,13,ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる
36,3436_E0100,5,
37,3436_E0101,5,
45,3441_E0100,7,シュツ・シュチ・チュツ・チュチ
46,3441_E0101,7,チュツ
47,3442_E0100,7,ホウ
48,3442_E0101,7,ホウ・さまよう・にる
73,3464_E0101,11,ボウ
74,3464_E0100,10,ボウ
89,3479_E0100,12,カイ・エ・あう
105,348A_E0101,16,シュウ
106,348A_E0100,16,シュウ
129,34A7_E0100,21,レイ
130,34A7_E0101,21,レイ
143,34B8_E0100,9,スイ・ズイ
144,34B8_E0101,9,スイ・ズイ
145,34B9_E0101,20,テン
146,34B9_E0100,20,テン
150,34BC_E0101,11,バン・マン・ベン・メン
156,34C3_E0100,12,ト・ツ・タ
157,34C3_E0101,12,タ・ツ・テ・ト・おく
175,34D7_E0100,14,ケツ・いさぎよい
176,34D7_E0101,14,ケツ
183,34DE_E0100,6,カツ・カチ・ケイ
184,34DE_E0102,6,カツ・ケイ
185,34DE_E0103,6,カツ・ケチ・ケイ・カイ
206,34F5_E0100,11,ガク
207,34F5_E0101,11,ガク
208,34F6_E0100,11,ケツ・ケチ
209,34F6_E0101,11,ケツ・ケチ・きざむ
241,351C_E0101,9,ホツ
242,351C_E0100,9,ホツ
245,351F_E0101,10,セイ・いきおい
264,3530_E0101,7,コウ
265,3530_E0100,7,コウ・つね
266,3531_E0100,11,ユ
267,3531_E0101,10,ユ・くら
269,3534_E0100,13,ヨク・ヨキ
270,3534_E0101,14,ヨク・ヨキ
276,353A_E0100,5,セイ・セ・よ
277,353A_E0101,5,セイ・セ・よ
278,353A_E0102,6,セイ・セ・よ
302,3553_E0101,16,テン・デン
303,3553_E0100,17,
309,355B_E0100,4,ユウ
310,355B_E0101,4,ユウ・とも
311,355C_E0100,6,シ・ふみ
312,355C_E0101,6,シ・ふびと・ふみ・さかん
317,3561_E0100,14,カク・ガク
318,3561_E0101,14,カク・ガク
332,356F_E0100,7,トツ・どもる
333,356F_E0101,7,セツ・トツ・ドツ・ナチ・どもる
380,35B6_E0101,12,エツ
381,35B6_E0100,12,エツ
405,35D4_E0100,13,ケン
406,35D4_E0101,13,ケン
408,35D6_E0100,13,タン・くう
409,35D6_E0101,13,タン・ダン・くう・くらわす
432,35F4_E0102,15,ガン・ゲン
433,35F4_E0101,15,ガン・ゲン
436,35FB_E0101,15,カ
437,35FB_E0100,16,カ
462,361D_E0100,5,ジュウ・ノウ・ドウ・ニョウ
463,361D_E0101,5,ジュ・シュウ・とらえる
485,3634_E0100,8,ザ・すわる
486,3634_E0101,8,ザ・すわる・そぞろに・おわす
499,3644_E0100,10,ヘイ・きざはし
500,3644_E0101,10,ヒ・ビ・ヘイ・ベイ・きざはし
519,365B_E0100,13,ホ・フ
520,365B_E0101,13,ホ・フ
557,3687_E0101,9,ソウ・ス・バン・マン
558,3688_E0100,5,ショウ・ます
559,3689_E0101,8,コ・ク
560,3689_E0100,8,コ・ク・もうかる
567,3691_E0102,6,レイ
568,3691_E0101,6,レイ・リョウ・みたま・たま・くし
583,36A2_E0100,5,ブ
584,36A2_E0101,5,ド
648,36EE_E0100,12,ソウ・あによめ
649,36EE_E0101,12,ソウ・あによめ
